foundation_name,program_name,fiscal_year,grantee_name,project_title,amount_jpy,target_issues,target_region,source_url,data_source
公益財団法人住友財団,助成の趣旨と助成対象,2025,開催日時　：,Session 1（英語）,2025,その他,,https://www.sumitomo.or.jp/html/jare/japanrela.html,住友財団HP
公益財団法人住友財団,助成の趣旨と助成対象,2016,和文,,,その他,,https://www.sumitomo.or.jp/html/jare/japanrela.html,住友財団HP
公益財団法人住友財団,助成の趣旨と助成対象,2025,"「心の豊かさ」を考えるとき、文化財は心豊かな生活の源となるとともに新たな文化の創造の基礎となるものです。 　

また相互理解の基盤として自国及び他国の文化に対する認識を深め、相互の文化交流の歴史を知るには、文化財に接することが きわめて有効な方法となります。

これらの点から、文化財を保存して、次の世代に継承していくことは、今の世代の責務と考えます。",,,その他,,https://www.sumitomo.or.jp/html/culja/cultuja_.htm,住友財団HP
公益財団法人住友財団,募集期間,2025,"文化は国の拠であり、心の豊かさを養う源です。文化財は、人類とその歴史が織りなす財産であり、それぞれの国の国民の希望であり誇りであります。世界の人々がお互いの文化財に接することで相互理解を深め、信頼関係の構築につながります。文化財を守り、それを次の世代に継承することは、今を生きる私たちの責務です。

しかし、諸外国においても、文化財の維持・修復には必ずしも十分に手が尽くされているという状況にはありません。
　

この助成は、諸外国における文化財 （美術工芸品及び遺跡）の維持・修復事業と維持・修復に直接つながる事前調査を対象に助成を行い、人類共通の財産である文化財を後世に伝える一助にしようとするものです。",,,その他,,https://www.sumitomo.or.jp/html/kaigai/gaicult.htm,住友財団HP
公益財団法人住友財団,助成の趣旨と助成対象,2025,"文化財は公共の財であり、適切な保存を図ることを優先しながらも、広く展示公開されることによって、その価値が共有されることになります。 　

文化財の維持・修復の事業に続けて、修復された文化財を展示するとともに、修復内容を公開することは、文化財の公共財としての価値を高めるとともに、文化財維持・修復事業の意義をより高めることに繋がると考えられます。",しかしながら、現在わが国において修復文化財の展示公開は、必ずしも十分とは言い難い状況にあります。,,その他,,https://www.sumitomo.or.jp/html/tenji/tenji.html,住友財団HP
